"","flag","wave","estimate","p_value"
"1","si_integral","1","0.19","0.0022"
"2","si_integral","2","-0.038","0.56"
"3","si_integral","all","0.16","0.0068"
"4","si_integral","class","-0.04","0.55"
"5","last_tests_per_10k","1","0.26","<0.0001"
"6","last_tests_per_10k","2","0.34","<0.0001"
"7","last_tests_per_10k","all","0.46","<0.0001"
"8","last_tests_per_10k","class","0.13","0.054"
"9","si_response_time","1","0.22","0.00048"
"10","si_response_time","2","0.24","0.00045"
"11","si_response_time","all","0.25","<0.0001"
"12","si_response_time","class","0.083","0.22"
"13","c1_response_time","1","0.21","0.00071"
"14","c1_response_time","2","0.27","<0.0001"
"15","c1_response_time","all","0.28","<0.0001"
"16","c1_response_time","class","0.096","0.16"
"17","c2_response_time","1","0.12","0.094"
"18","c2_response_time","2","0.26","0.00046"
"19","c2_response_time","all","0.22","0.0015"
"20","c2_response_time","class","0.13","0.077"
"21","c3_response_time","1","0.24","1e-04"
"22","c3_response_time","2","0.25","2e-04"
"23","c3_response_time","all","0.29","<0.0001"
"24","c3_response_time","class","0.12","0.082"
"25","c4_response_time","1","-0.021","0.74"
"26","c4_response_time","2","0.073","0.29"
"27","c4_response_time","all","0.022","0.74"
"28","c4_response_time","class","0.067","0.34"
"29","c5_response_time","1","0.13","0.076"
"30","c5_response_time","2","0.19","0.024"
"31","c5_response_time","all","0.23","0.0021"
"32","c5_response_time","class","0.15","0.075"
"33","c6_response_time","1","0.13","0.047"
"34","c6_response_time","2","0.18","0.013"
"35","c6_response_time","all","0.19","0.0044"
"36","c6_response_time","class","0.099","0.17"
"37","c7_response_time","1","0.18","0.0053"
"38","c7_response_time","2","0.22","0.0017"
"39","c7_response_time","all","0.24","0.00019"
"40","c7_response_time","class","0.12","0.074"
"41","c8_response_time","1","0.24","0.00026"
"42","c8_response_time","2","0.12","0.11"
"43","c8_response_time","all","0.24","0.00032"
"44","c8_response_time","class","0.074","0.31"
"45","h2_response_time","1","0.17","0.0063"
"46","h2_response_time","2","0.024","0.73"
"47","h2_response_time","all","0.088","0.17"
"48","h2_response_time","class","-0.077","0.27"
"49","h3_response_time","1","0.13","0.052"
"50","h3_response_time","2","0.015","0.83"
"51","h3_response_time","all","0.03","0.65"
"52","h3_response_time","class","0.08","0.26"
"53","testing_response_time_1","1","0.31","<0.0001"
"54","testing_response_time_1","2","0.096","0.21"
"55","testing_response_time_1","all","0.25","0.00055"
"56","testing_response_time_1","class","-0.042","0.59"
"57","testing_response_time_10","1","0.21","0.0038"
"58","testing_response_time_10","2","0.0072","0.92"
"59","testing_response_time_10","all","0.12","0.083"
"60","testing_response_time_10","class","-0.055","0.48"
"61","testing_response_time_100","1","-0.027","0.71"
"62","testing_response_time_100","2","-0.22","0.0046"
"63","testing_response_time_100","all","-0.16","0.023"
"64","testing_response_time_100","class","-0.07","0.37"
"65","testing_response_time_1000","1","-0.026","0.76"
"66","testing_response_time_1000","2","-0.18","0.039"
"67","testing_response_time_1000","all","-0.11","0.17"
"68","testing_response_time_1000","class","-0.05","0.57"
